id,filepath_gambar,jenis,warna_dominan_1,warna_dominan_2,warna_dominan_3,warna_dominan_4,warna_dominan_5,warna_index,teori_warna,warna_kombinasi,rd,gd,bd,rk,gk,bk,hueDiff,satDiff,valDiff,deltaE,contrast,label_kecocokan,probabilitas,rekomendasi_warna
1,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,complementary_soft,#7F4C7E,40,89,41,127,76,126,0.499866613,0.148986995,0.149019608,71.69013879,1.268995504,0.0,0.0001773830111323375,
2,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,complementary_sharp,#B235AF,40,89,41,178,53,175,0.499401361,0.151685393,0.349019608,111.2591113,1.576229087,0.0,0.08952188089976704,#B235AF
3,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,triadic1_soft,#4D4C7F,40,89,41,77,76,127,0.333199947,0.148986995,0.149019608,66.2145067,1.041000465,0.0,8.424599250064143e-06,
4,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,triadic1_sharp,#3835B2,40,89,41,56,53,178,0.333931973,0.151685393,0.349019608,112.1260435,1.099528145,0.0,2.4454073053834773e-06,
5,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,triadic2_soft,#7F4D4C,40,89,41,127,77,76,0.33346672,0.148986995,0.149019608,50.78735145,1.202698399,0.0,0.0033449164773281105,#7F4D4C
6,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,triadic2_sharp,#B23835,40,89,41,178,56,53,0.332734694,0.151685393,0.349019608,77.73269943,1.375855187,0.0,0.0009778796404310783,#B23835
7,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,complementary_soft,#F3E7FF,231,242,220,243,231,255,0.5,0.003208556,0.050980392,25.13115315,1.025263671,0.0,1.2220591713623644e-05,
8,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,complementary_sharp,#9D48F2,231,242,220,157,72,242,0.5,0.611570248,0.0,117.4332102,3.905484879,1.0,0.9999999506774961,#9D48F2
9,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,triadic1_soft,#E7F3FF,231,242,220,231,243,255,0.333333333,0.003208556,0.050980392,17.51576126,1.029225693,0.0,3.098657666678222e-07,
10,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,triadic1_sharp,#489DF2,231,242,220,72,157,242,0.333333333,0.611570248,0.0,67.55480865,2.456759863,1.0,0.999998571519549,#489DF2
11,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,triadic2_soft,#FFE7F3,231,242,220,255,231,243,0.333333333,0.003208556,0.050980392,21.47092715,1.008651258,0.0,2.237061572562255e-06,
12,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,triadic2_sharp,#F2489D,231,242,220,242,72,157,0.333333333,0.611570248,0.0,88.19071842,2.929607196,1.0,0.9999998362720043,#F2489D
13,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,complementary_soft,#A0609E,51,122,53,160,96,158,0.499486502,0.181967213,0.149019608,90.87563586,1.172436911,0.0,2.4337519049382763e-05,#A0609E
14,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,complementary_sharp,#B235AE,51,122,53,178,53,174,0.499361502,0.120279978,0.219607843,122.6361028,1.009419554,0.0,1.8072471535905993e-05,
15,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,triadic1_soft,#6160A0,51,122,53,97,96,160,0.331242664,0.181967213,0.149019608,84.95405501,1.077782945,0.0,2.5919236010126827e-06,
16,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,triadic1_sharp,#3935B2,51,122,53,57,53,178,0.333971831,0.120279978,0.219607843,125.2626558,1.709303991,0.0,0.0035006417291599456,#3935B2
17,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,triadic2_soft,#A06160,51,122,53,160,97,96,0.335424002,0.181967213,0.149019608,65.7636806,1.099979476,0.0,2.2219230840168443e-06,
